country,region,emajrel,commun,bulgex,elecsd,gdp,gee,injud,MXX,reldiv,WSOCDISX,funding
Ireland,0,0,0,0.16337572038173676,1,48538.587760468,1.3495880365371704,1,3,0.1894121617078781,1,3
Israel,3,9,0,0.20764735341072083,1,30661.9900386465,1.3915212154388428,1,9,0.5752303004264832,22,8
Italy,0,0,0,0.11509263515472412,1,35849.3736358594,0.4419097304344177,1,10,0.3492642641067505,13,5
Ivory Coast,4,13,0,0.3458190858364105,0,1219.74909551521,-1.285643458366394,0,0,0.6592885255813599,2,5
Jamaica,5,2,0,0.2629985511302948,1,4682.72842390135,0.2153889387845993,1,1,0.5400622487068176,1,1
Japan,2,11,0,0.11672032624483109,1,44507.6763859172,1.5276691913604736,1,3,0.6019081473350525,4,0
Jordan,3,4,0,0.3079567551612854,0,3679.19027463278,0.10368447750806808,0,34,0.11503950506448746,8,8
Kazakhstan,1,13,1,0.2542065680027008,0,9070.64997199985,-0.4361029267311096,0,19,0.4279443025588989,4,1
Kenya,4,14,0,0.36323317885398865,1,967.340077341325,-0.5571087002754211,0,7,0.2878519594669342,4,1
Kosovo,1,4,0,NA,1,3283.2119384317198,-0.5835602879524231,1,6,NA,22,3
Kurdistan (Iraq),3,4,0,NA,NA,NA,NA,NA,10,NA,1,3
Kuwait,3,12,0,0.21416303515434265,1,38497.6169579293,0.16863413155078888,1,34,0.24874310195446014,8,10
Kyrgyzstan,1,4,1,0.3183363080024719,1,880.037775119109,-0.6516974568367004,1,26,0.3306903839111328,7,1
Laos,2,7,1,0.3656236231327057,0,1141.12711507419,-0.8600213527679443,1,57,0.5436384081840515,2,2
Latvia,1,14,1,0.1591011881828308,1,11326.2194746243,0.7088099718093872,1,13,0.555061399936676,3,6
